Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
EntityNPCLootContainerArmorClub,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerArmorKnife,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerArmorSMG,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerArmorAK47,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerArmorHunter,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerArmorPistol,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerArmorXBow,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerArmorBow,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerArmorShotty,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerMilitary,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerMilitaryClub,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerMilitaryKnife,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerMilitarySMG,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerMilitaryAK47,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerMilitaryHunter,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerMilitaryPistol,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerMilitaryXBow,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerMilitaryBow,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerMilitaryShotty,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerMedical,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerMedicalClub,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerMedicalKnife,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerMedicalSMG,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerMedicalAK47,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerMedicalHunter,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerMedicalPistol,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerMedicalXBow,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerMedicalBow,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerMedicalShotty,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerPowerArmorClub,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
EntityNPCLootContainerPowerArmorKnife,entityclasses,Entity Info,,,Dropped Loot,,Fallengelassene Beute,Botín abandonado,Butin abandonné,Bottino caduto,落ちている略奪品,떨어진 약탈품,Upuszczony łup,Espólio caído,Выпавшие вещи,Düşürülmüş Ganimet,掉落的战利品,掉落戰利品,Botín abandonado
loadingTipHumanNPCs,UI,Loading Screen,x,,"You are not the only person that survived the apocalypse. Other people may be enemies or friends. Some will converse with you, and might even join you. But others cannot be reasoned with.",,"Sie sind nicht die einzige Person, die die Apokalypse überlebt hat. Andere Menschen können Feinde oder Freunde sein. Einige werden sich mit Ihnen unterhalten und sich Ihnen vielleicht sogar anschließen. Aber mit anderen kann man nicht argumentieren.","No eres la única persona que sobrevivió al apocalipsis. Otras personas pueden ser enemigos o amigos. Algunos conversarán con usted e incluso pueden unirse a usted. Pero no se puede razonar con otros.","Vous n'êtes pas la seule personne à avoir survécu à l'apocalypse. D'autres personnes peuvent être des ennemis ou des amis. Certains converseront avec vous et pourraient même vous rejoindre. Mais d'autres ne peuvent pas être raisonnés.","Non sei l'unica persona sopravvissuta all'apocalisse. Altre persone possono essere nemici o amici. Alcuni converseranno con te e potrebbero persino unirsi a te. Ma non si può ragionare su altri.","黙示録を生き延びたのはあなただけではありません。他の人は敵や友達かもしれません。何人かはあなたと会話し、あなたに加わるかもしれません。しかし、他の人は推論することはできません。","黙示録を生き延びたのはあなただけではありません。他の人は敵や友達かもしれません。何人かはあなたと会話し、あなたに加わるかもしれません。しかし、他の人は推論することはできません。","Nie jesteś jedyną osobą, która przeżyła apokalipsę. Inni ludzie mogą być wrogami lub przyjaciółmi. Niektórzy będą z tobą rozmawiać, a nawet mogą do ciebie dołączyć. Ale z innymi nie można dyskutować.","Você não é a única pessoa que sobreviveu ao apocalipse. Outras pessoas podem ser inimigas ou amigas. Alguns vão conversar com você e podem até se juntar a você. Mas outros não podem ser argumentados.","Вы не единственный человек, переживший апокалипсис. Другие люди могут быть врагами или друзьями. Некоторые будут разговаривать с вами и, возможно, даже присоединятся к вам. Но с другими нельзя верить.","Kıyametten kurtulan tek kişi sen değilsin. Diğer insanlar düşman veya arkadaş olabilir. Bazıları sizinle sohbet edecek ve hatta size katılabilir. Ancak diğerleri ile gerekçelendirilemez.","您不是唯一一个幸免于世的人。别人可能是敌人或朋友。有些人会与您交谈，甚至可能加入您的行列。但是其他人不能被推理。","您不是唯一一個在世界末日中倖存下來的人。別人可能是敵人或朋友。有些人會與您交談，甚至可能加入您的行列。但是其他人不能被推理。","No eres la única persona que sobrevivió al apocalipsis. Otras personas pueden ser enemigos o amigos. Algunos conversarán con usted e incluso pueden unirse a usted. Pero no se puede razonar con otros."
loadingTipHumanNPCs_title,UI,Loading Screen,x,,Other People,,Andere Leute,Otra gente,Les autres gens,Altre persone,他の人,다른 사람,Inni ludzie,Outras pessoas,Outras pessoas,Другие люди,Diğer Kişiler,其他人,其他人,Otra gente
