Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
Glock40Desc,items,Gun,New,Fast SemiAutomatic pistol that uses 9mm ammo.\n\nRepair with a Gun Repair Kit.\nScrap to Handgun Pieces.,,,,,
HK USP,items,Gun,New,H&K USP,,,,,
USPDesc,items,Gun,New,Powerfull SemiAutomatic pistol that uses 9mm ammo.\n\nRepair with a Gun Repair Kit.\nScrap to Handgun Pieces.,,,,,
P226,items,Gun,New,P226,,,,,
P226Desc,items,Gun,New,SemiAutomatic Pistol that uses 9mm ammo.\n\nRepair with a Gun Repair Kit.\nScrap to Handgun Pieces.,,,,,
Beretta M9,items,Gun,New,Beretta M9,,,,,
M9Desc,items,Gun,New,SemiAutomatic Pistol that uses 9mm ammo.\n\nRepair with a Gun Repair Kit.\nScrap to Handgun Pieces.,,,,,
Beretta M92,items,Gun,New,Beretta M92r,,,,,
M92Desc,items,Gun,New,3 Rounds Burst Pistol that uses 9mm ammo.\n\nRepair with a Gun Repair Kit.\nScrap to Handgun Pieces.,,,,,

M16,items,Gun,New,M16,,,,,
M16Desc,items,Gun,New,Automatic Assault Rifle that uses 7.62mm Ammo.\n3 rounds burst\n\nRepair with a Gun Repair Kit.\nScrap to Automatic Rifle Pieces.,,,,,
ARX160,items,Gun,New,ARX-160,,,,,
ARX160Desc,items,Gun,New,Automatic Assault Rifle that uses 7.62mm Ammo.\n3 rounds burst\n\nRepair with a Gun Repair Kit.\nScrap to Automatic Rifle Pieces.,,,,,
SCAR,items,Gun,New,SCAR,,,,,
SCARDesc,items,Gun,New,Automatic Assault Rifle that uses 7.62mm Ammo.\n\nRepair with a Gun Repair Kit.\nScrap to Automatic Rifle Pieces.,,,,,
M4A1,items,Gun,New,M4-A1,,,,,
M4A1Desc,items,Gun,New,Automatic Assault Rifle that uses 7.62mm Ammo.\n\nRepair with a Gun Repair Kit.\nScrap to Automatic Rifle Pieces.,,,,,
ACWR,items,Gun,New,ACW-R,,,,,
ACWRDesc,items,Gun,New,Automatic Assault Rifle that uses 7.62mm Ammo.\n\nRepair with a Gun Repair Kit.\nScrap to Automatic Rifle Pieces.,,,,,
FNFAL,items,Gun,New,FNFAL,,,,,
FNFALDesc,items,Gun,New,SemiAutomatic Assault Rifle that uses 7.62mm Ammo.\n\nRepair with a Gun Repair Kit.\nScrap to Automatic Rifle Pieces.,,,,,

KSG12,items,Gun,New,KSG-12,,,,,
KSG12Desc,items,Gun,New,Powerful Pump Shotgun that uses all Shell Types.\n\nRepair with a Gun Repair Kit.\nScrap to Shotgun Pieces.,,,,,
SPAS12,items,Gun,New,SPAS-12,,,,,
SPAS12Desc,items,Gun,New,Automatic Shotgun that uses all Shell Types.\n\nRepair with a Gun Repair Kit.\nScrap to Shotgun Pieces.,,,,,
AA12,items,Gun,New,AA-12,,,,,
AA12Desc,items,Gun,New,Very Fast Automatic Shotgun that uses all Shell Types.\n\nRepair with a Gun Repair Kit.\nScrap to Shotgun Pieces.,,,,,
Winchester,items,Gun,New,Winchester,,,,,
WinchesterDesc,items,Gun,New,Powerful PumpShotgun that uses all Shell Types.\n\nRepair with a Gun Repair Kit.\nScrap to Shotgun Pieces.,,,,,

JNG90,items,Gun,New,JNG90 Sniper Rifle,,,,,
JNG90Desc,items,Gun,New,Powerful Bolt-action rifle that uses 7.62mm ammo.\n\nRepair with a Gun Repair Kit.\nScrap to Rifle Pieces.,,,,,
M98,items,Gun,New,M98 Sniper Rifle,,,,,
M98Desc,items,Gun,New,Powerful Bolt-action rifle that uses 7.62mm ammo.\n\nRepair with a Gun Repair Kit.\nScrap to Rifle Pieces.,,,,,
M1garand,items,Gun,New,M1 garand,,,,,
M1Desc,items,Gun,New,Old and legendary SemiAutomatic rifle that uses 7.62mm ammo.\n\nRepair with a Gun Repair Kit.\nScrap to Rifle Pieces.,,,,,
SR25,items,Gun,New,SR-25,,,,,
SR25Desc,items,Gun,New,SemiAutomatic Marksman rifle that uses 7.62mm ammo.\n\nRepair with a Gun Repair Kit.\nScrap to Rifle Pieces.,,,,,

ammo50BMGBulletBall,items,Ammo,New,.50 BMG Round,,,,,
50bbDesc,items,Ammo,New,50 Caliber BMG Ammo\nStandard Ammunition that can penetrate targets.,,,,,
ammo50BMGAP,items,Ammo,New,.50 BMG Armor-Piercing Round,,,,,
50APDesc,items,Ammo,New,50 Caliber Armor-Piercing Ammo\nArmor Piercing Ammunition that can penetrate targets and reduce their Armor by 50%.,,,,,
ammo50BMGIncendiary,items,Ammo,New,.50 BMG Incendiary Round,,,,,
50INDesc,items,Ammo,New,50 Caliber Incendiary Ammo\nIncendiary Ammunition that set targets on Fire.,,,,,
ammo40mmExplosive,items,Ammo,New,40mm Grenade,,,,,
40mmDesc,items,Ammo,New,This 40mm Explosive Grenade requires a launcher,,,,,
ammo40mmIncendiary,items,Ammo,New,40mm Incendiary Grenade,,,,,
40mmIncDesc,items,Ammo,New,This 40mm Incendiary Grenade requires a launcher,,,,,

ammoBundle50BMGBulletBall,items,Ammo,New,.50 BMG Round Bundle,,,,,
ammoBundle50BMGAP,items,Ammo,New,.50 BMG Armor-Piercing Round Bundle,,,,,
ammoBundle50BMGIncendiary,items,Ammo,New,.50 BMG Incendiary Round Bundle,,,,,

M79GL40Schematic,items,Ammo,New,M79 GL40 Schematic,,,,,
50BMGBulletBallSchematic,items,Ammo,New,.50BMG BulletBall Schematic,,,,,
50BMGAPSchematic,items,Ammo,New,.50BMG AP Schematic,,,,,
50BMGIncendiarySchematic,items,Ammo,New,.50BMG Incendiary Schematic,,,,,


