Key,Source,Context,English,Japanese
resourceTanninRH,items,Item,Tannin,"タンニン"
resourceTanninRHDesc,items,Item,Tannin is used in leatherworking. It can speed up the process and also produce more useable leather from hide.,"タンニンは革加工に使われます。加工のスピードを上げ、より使いやすい革を作ることができます。"
foodTrailMixRH,items,Food,Survival Mix,"サバイバルミックス"
foodTrailMixRHDesc,items,Food,Survival Mix is a great survival food that can be easily made and provides you with a nutritious snack.,"サバイバルミックスは、簡単に作ることができ、高い栄養価のある素晴らしいサバイバルフードです。"
foodJerkyRH,items,Food,Dried Jerky,"ドライジャーキー"
foodJerkyRHDesc,items,Food,Jerky is made from drying and curing meat and can give a great boost to your hunger.,"ジャーキーは、肉を乾燥・熟成させて作られるもので、空腹感を一層高めてくれます。"
foodSaltRH,items,Food,Salt,"食塩"
foodSaltRHDesc,items,Food,Salt is worth it's weight in gold. In old times it was a precious resource. Salt can be used to cure meats and preserve food.,"塩には金の価値があります。昔は貴重な資源でした。塩は、肉の熟成や食品の保存に使われます。"
resourceSaltRH,items,Food,Salt Deposit,"塩類鉱床"
resourceSaltRHDesc,items,Food,Mined salt deposits can be collected and boiled with clean water to make useable salt.,"採掘した塩類鉱床を集めて、きれいな水で煮ると使える食塩になります。"
