Key,Source,Context,English,Context / Alternate Text,german,latam,french,italian,japanese
loadingTipSpoilage_title,UI,Loading Screen,Food Rots,,,,,,"食べ物の腐敗"
loadingTipPWB,UI,Loading Screen,"The personal crafting station in the early stages, is your one stop shop for all your crafting needs. It can easily be picked up by destroying it and is not expensive to craft.",,,,,,"序盤の個人用作業台は、クラフトの必要性をすべて満たよろずや的存在です。破壊することで簡単に拾うことができ、クラフトにかかるコストも高くありません。"
loadingTipPWB_title,UI,Loading Screen,Personal Workbench,,,,,,"個人用作業台"
loadingTipIrrigation,UI,Loading Screen,"You will notice that as you gain skills in Living Off The Land eventually you will be able to use an Irrigation System on your crops. The Irrigation system is a series of connected pipes you can attach to a Irrigation Pump and run alongside your crops. Plants will check for irrigation pipes within 3 blocks. To begin place an Irrigation Pump within 4 meters or blocks of a CLEAN water source. Once the pump is full it will always remain full. Next you will need to connect your pipes, joints or elbows to the irrigation pump and run your pipes to your crops. They can be underneath your crops but all pipes MUST always remain connected. They piping will automatically fill every 60 minutes and water your crops. This process will keep repeating itself as long as the piping remains connected.",,,,,,"「Living Off The Land」のスキルを身につけていくと、やがて作物に灌漑システムを使えるようになることに気づくでしょう。灌漑システムとは、一連の接続されたパイプのことで、灌漑ポンプに取り付けて作物に沿わせることができます。植物は、3ブロック以内に灌漑用パイプがあるかどうかをチェックします。まず、きれいな水源から4メートルまたは1ブロック以内に灌漑ポンプを設置します。ポンプが一杯になると、常に一杯の状態になります。次に、パイプ、ジョイント、エルボーを灌漑ポンプに接続し、作物までパイプを通します。作物の下でも構いませんが、すべてのパイプは常に接続されていなければなりません。このパイプは60分ごとに自動的に満たされ、作物に水を与えます。このプロセスは、配管が接続されている限り、繰り返し行われます。"
loadingTipIrrigation_title,UI,Loading Screen,Irrigation and Crops,,,,,,"灌漑と農作物"
loadingTipQuality,UI,Loading Screen,"Quality numbers in Ravenhearst can reach up to a 1000 durability. Every increase brings with it more power and longer durability. You can increase the quality of your crafts by increasing the appropriate action skill. Such as - If you wish to level up mining you would need to go mining, you increase your action skill's by using the right tool for the right job. There are some Action Skill Books that can be looted that will give you +2 in a particular skill.",,,,,,"Ravenhearstのアイテムにおける品質の数値は、耐久性が1000に達することもあります。向上するごとに、より強力でより長い耐久性がもたらされます。適切なアクションスキルを上げることで、クラフト時の品質を上げることができます。例えば、採掘のレベルを上げたければ、採掘に行く必要があります。適切な仕事に適切な道具を使うことで、アクションスキルを上げることができます。アクションスキルブックは、特定のスキルを＋2することができるものがあり、それを手に入れることもできます。"
loadingTipQuality_title,UI,Loading Screen,Weapon and Tool Quality,,,,,,"武器と道具の品質"
loadingTipRepairs,UI,Loading Screen,"Weapons and Tools will degrade by 100 Quality points each time you repair them until it reaches 0 and breaks no matter your skill level. You can reduce the drop in quality number by increasing the appropriate action skill or by combining 2 of the same weapon or tools in the workbench. If any item has a durability of less than 100, If it is repaired, it will break also any items that do not have a durability number on it i.e. Nail Guns if repaired will break. Also, if any item has been modified and it breaks you will also lose all the mods on that item. Be on the lookout for the RED Box that indicates your item needs repairing.",,,,,,"武器や道具は、修理するたびに品質が100ポイントずつ低下し、0になるとスキルレベルに関係なく壊れてしまいます。アクションスキルを上げるか、同じ武器や道具を2つ組み合わせて作業台に置くことで、品質の数値の低下を抑えることができます。耐久度が100未満のアイテムは、修理すると壊れてしまいます。また、耐久度が書かれていないアイテム（例：ネイルガン）も修理すると壊れてしまいます。また、改造されているアイテムが壊れた場合、そのアイテムのすべての改造パーツを失うことになります。修理が必要なアイテムを示す赤いボックスを探してください。"
loadingTipRepairs_title,UI,Loading Screen,Repairing Your Weapons,,,,,,"武器の修理"
loadingTipProperToolsRH,UI,Loading Screen,"The Right Tool, For the Right Job - You will need to use proper tools to harvest resources. The Stone Axe and all axes are used primarily for wood based blocks. The Stone Pickaxe and other pickaxes for metal and stone mining. There are scrap variants as well. You will want to use various blades on corpses and animals and wrenches to harvest mechanical items. The crowbar is the premier choice for car parts.",,,,,,"適材適所 - 資源の収穫には適切な道具が必要です。石の斧やその他の斧は、主に木を材料としたブロックに使用します。石のつるはしやその他のつるはしは、金属や石の採掘に使用します。スクラップ用のものもあります。死体や動物には様々な刃物を、機械的なアイテムの収穫にはレンチを使いたいところです。車の部品にはバールが最も良いでしょう"
loadingTipProperToolsRH_title,UI,Loading Screen,Using The Right Tools,,,,,,"適切なツール"
loadingTipEncumbranceRH,UI,Loading Screen,"Carrying too many items in your inventory will encumber and slow you down. Decisions will have to be made on what to keep and what to drop in early game stages. Finding special inventory backpacks in the world in various places such as - dressers, nightstands, garment bags and lockers will increase the size of your inventory.",,,,,,"インベントリに多くのアイテムを入れておくと、動きを阻害して遅くなります。ゲームの序盤では、何を残し、何を捨てるかを決めなければなりません。ドレッサー、ナイトスタンド、ガーメントバッグ、ロッカーなどの様々な場所で、特別なインベントリーバックパックを見つけると、インベントリのサイズが大きくなります。"
loadingTipEncumbranceRH_title,UI,Loading Screen,Encumbrance and Backpacks,,,,,,"行動の阻害とバックパック"
loadingTipIngredientsRH,UI,Loading Screen,"Crafting is a major part of Ravenhearst and now - you can easily find what you need to craft anything and to know what station it needs to be crafted in by reading the description. On your crafting screen you can now click the ingredient in the list to bring up the ingredients you need to craft that particular ingredient. This makes tracking down recipes a lot faster and easier.",,,,,,"クラフトはRavenhearstの重要な要素ですが、説明を読むことで、クラフトに必要なものを簡単に見つけることができ、どの作業台でクラフトする必要があるかを知ることができます。クラフト画面では、リスト内の材料をクリックすると、その材料を作るために必要な材料が表示されるようになりました。これにより、レシピについてより迅速かつ容易に知ることができるようになりました。"
loadingTipIngredientsRH_title,UI,Loading Screen,Clickable Ingredients,,,,,,"クリックできる素材"
loadingTipVehiclesRH,UI,Loading Screen,"Vehicles in Ravenhearst work a lot differently. For one - only bicycles can be stored in your inventory - all other vehicles, once placed can NOT be picked up again - Also be careful when you drive around if you get stuck you will have to dig yourself out. Some vehicles are made for off-road and some are not. At 18:00 in game on horde night a Severe thunderstorm from the Blood Moon will knock out your engine, preventing you from being able to flee hordes!",,,,,,"Ravenhearstでは、乗り物の仕組みが大きく変更されています。たとえばインベントリに入れることができるのは自転車だけです。他の乗り物は全て、一度設置したら二度と拾うことができません。また、車で移動する際には、スタックしたら自分で掘らなければならないので注意が必要です。車にはオフロード用に作られたものとそうでないものがあります。ホードの日の18:00には、ブラッドムーンによる激しい雷雨でエンジンが停止し、ホードから逃げられなくなります。"
loadingTipVehiclesRH_title,UI,Loading Screen,Vehicles,,,,,,"乗り物"
loadingTipRadiationRH,UI,Loading Screen,"High value scavenging sites like the Tier 5 buildings are washed in radiation, Barrels of green smoke bellow out and around all sections of the tier 5 POI’s and will kill you if you try to enter or even slightly go near them early on without wearing the proper gear. Find Hazmat Suits (standard or armored) to venture into them. You will need to wear all 5 pieces to enter any radiated areas. These buildings house special military and makasin crates with special loot in them! So bring Lock-picks.",,,,,,"ティア5の建物のような高価値の探索サイトは放射線に汚染されており、ティア5の建物のすべてのセクションとその周辺から緑の煙が出ています。これらの建物に入るにはハズマットスーツ（標準装備または装甲装備）を用意してください。放射能汚染された場所に入るには、5つの部位すべてにハズマットスーツを着用する必要があります。これらの建物には、特別な戦利品が入った軍やマカシンの特別な木箱が入っています。それらを開けるためにはロックピックを持参してください。"
loadingTipRadiationRH_title,UI,Loading Screen,Radiation,,,,,,"放射能汚染"
loadingTipSafeTerrainRH,UI,Loading Screen,"One of the greatest tragedies of the fall was the inability to bury our loved ones in soil without them returning to life. After years of rumors, a secret formula has been discovered that will allow your soil to keep the dead where they belong. Although it will not stop wanderers or blood moon events you can rest easy knowing freshly dead will not be appearing on your property when you use this soil. The Secret schematic is out there somewhere.",,,,,,"秋の最大の悲劇の一つは、大切な人を土に埋めても生き返ることができないことでした。長年の噂の後、秘密のフォーミュラが発見され、あなたの土が死者を元の場所に保つことができるようになりました。徘徊やブラッドムーン現象を防ぐことはできませんが、この土を使えば、新鮮な死者が敷地内に現れることはないので安心です。秘密の設計図はどこかにあります。"
loadingTipSafeTerrainRH_title,UI,Loading Screen,Safe Terrain,,,,,,"安全な土"
loadingTipBreakStuffRH,UI,Loading Screen,"If any item has a durability of less then 100 - If it is repaired it will break also any items that do not have a durability number on it i.e. Nail Guns if repaired will break.",,,,,,"耐久度が100未満のアイテムは、修理すると壊れてしまいます。また、耐久度が書かれていないアイテム（例：ネイルガン）も修理すると壊れてしまいます。"
loadingTipBreakStuffRH_title,UI,Loading Screen,Breaking Your Stuff,,,,,,"ものを破壊する"
loadingTipNearDeathRH,UI,Loading Screen,"You never really DIE in ANY version of 7 Days to Die - You have a  Near Death Experience - as the Crazy Jake Clan who is always watching you - carries you back to your bedroll (unconscious) you may or may not drop some things - back pack - tool bar - You will notice since you do not  DIE  - when you awake moments later on your bedroll - you will receive a  NEAR Death Penalty (a negative XP bar, you will have to earn back the loss of XP before gaining any new XP)  and or the Broken Legs or Arms or Infection (that originally may have almost  killed you) are still there. - this is because you have not died - you did not lose everything you have - you did not have to choose a new character - you did not have to start all over. You did not have to wipe your server or start on a new one.",,,,,,"7 Days to Die ではどのバージョンでも、あなたは本当に死ぬことはありません。あなたは臨死体験をします。常にあなたを監視しているクレイジージェイク一族があなたをベッドロールに運ぶとき（意識不明）、バックパックやツールバーなどを落とすかもしれませんし、落とさないかもしれません。あなたは死なないので、しばらくしてベッドロールで目を覚ますと、臨死ペナルティ（XPバーがマイナスになります。また、足や腕の骨折や感染症（もともと死にかけていたかもしれません）も残っています。- これは、あなたが死んだわけではなく、すべてを失ったわけでもなく、新しいキャラクターを選択する必要もなく、最初からやり直す必要もなかったからです。サーバを消去する必要も、新しいサーバで始める必要もないのです"
loadingTipNearDeathRH_title,UI,Loading Screen,Near Death and Rebirth,,,,,,"死ぬことも生き返ることもない"
loadingTipBandagesRH,UI,Loading Screen,"Some cuts can be serious and cause you to bleed out. Carry bandages on your belt so you can quickly apply them with [action:local:Primary] to stop bleeding. Use [action:local:Secondary] on an ally to heal them. Some Cuts are so severe you will need to use a Sewing Kit directly on yourself to stop the bleeding.",,,,,,"切り傷の中には、出血してしまうような深刻なものもあります。ベルトに包帯を巻いておけば、[action:local:Primary] ですぐに止血することができます。また、[action:local:secondary] で味方の傷を治すこともできます。ひどい切り傷の場合は、自分で直接縫合キットを使って止血しなければならないこともあります。"
loadingTipBandagesRH_title,UI,Loading Screen,Bandages,,,,,,"包帯"
loadingTipHoneyRH,UI,Loading Screen,"Chopping up Tree Stumps will sometimes give you Honeycomb - Which in turn can be used with an empty Jar to make a jar of Honey which has a 5% cure of infection. So, if your infection has reached 20% you will need to consume 4 jars of honey to ensure that all of the infection will be cured.",,,,,,"木の切り株を切り刻むと、時々蜂の巣が得られます。これを空の瓶と一緒に使うと、感染症を5%治す効果のあるハチミツの瓶を作ることができます。つまり、感染症が20％に達している場合、すべての感染症を治すためには、蜂蜜を4瓶消費する必要があります。"
loadingTipHoneyRH_title,UI,Loading Screen,Early Game Honey,,,,,,"ゲーム序盤の蜂蜜"
loadingTipKnownBooksRH,UI,Loading Screen,"If you notice there is a little small icon of a book in the corner of every book and schematic - this means you have not learned it yet. When you read the book you will see a green checkmark. When you get a schematic with a green checkmark this means you already know the recipe. Also, some books, like action skill books will have to be placed on your tool bar in-order to read them. You can also scrap the books and yellow quest sheets whether you have read them or not in order to get knowledge points.",,,,,,"すべての書籍や設計図の隅に、小さな本のアイコンがあることに気がついたら、それはあなたがまだ学んでいないことを意味しています。その本を読むと、緑色のチェックマークが表示されます。回路図に緑のチェックマークがついている場合は、すでにそのレシピを知っていることを意味します。また、アクションスキルブックのように、ツールバーに置いておかないと読めないブックもあります。また、読んだかどうかに関わらず、本や黄色のクエストシートをスクラップすることで、知識ポイントを得ることができます。"
loadingTipKnownBooksRH_title,UI,Loading Screen,Known Schematics,,,,,,"既知の設計図"
loadingTipWorldBenchRH,UI,Loading Screen,"Forges, Workbenches, Chemistry Station and other Stations & Benches that are game generated – Can only be broken down for parts – you can NOT pick these items up, even if you place a land claim block – Also Trader Quests will reset the entire poi which include any and all stations or benches located within the POI’s radius – So if you find a Working Workbench and someone resets this POI to do their Quest it may NO longer be a working Workbench.",,,,,,"また、トレーダークエストでは、建物の半径内にあるすべての作業台を含む建物全体がリセットされます。つまり、稼働中の作業台を見つけても、誰かがクエストを行うためにこの建物をリセットすると、稼働中の作業台ではなくなる可能性があります。"
loadingTipWorldBenchRH_title,UI,Loading Screen,Benches and Stations In The World,,,,,,"発見した作業台"
loadingTipPaintRH,UI,Loading Screen,"Having a hard time finding paint? The dyes in your inventory can be scrapped for paint. Experiment with recipes to discover more hidden treasures.",,,,,,"塗料を探すのに苦労していませんか？インベントリにある染料は、スクラップして塗料にすることができます。レシピを試すことで、より多くの隠れた宝物を見つけることができます。"
loadingTipPaintRH_title,UI,Loading Screen,Finding Paint,,,,,,"塗料を探す"
loadingTipHighEndMetalRH,UI,Loading Screen,"The High End Metal Schematic and Blacksmith Forge Schematic can NOT be crafted in the Research Desk – You will either need to find the both of the schematics or you will have to put 16 Points into Intellect attribute to get Intellect 10 and 5 points into Advanced Engineering making the total 21 skill points in order to craft the Blacksmith Forge and Auto Workbench.",,,,,,"「High End Metal Schematic」と「Blacksmith Forge Schematic」はリサーチデスクでは作成できません。「Blacksmith Forge」と「Auto Workbench」を作成するためには、両方の設計図を見つけるか、Intellect属性に16ポイントを投入してIntellect 10を取得し、Advanced Engineeringに5ポイントを投入して合計21スキルポイントを取得する必要があります。"
loadingTipHighEndMetalRH_title,UI,Loading Screen,High End Metals,,,,,,"最高級な金属"
loadingTipConstructionToolsRH,UI,Loading Screen,"While using the Auger and the Nail gun do not expect to gain any mining or construction skills – Using a Pick-Axe for mining skill increases and a stone hammer or claw hammer for construction skill increases – It may be faster to mine and build with an Auger or Nail Gun but you don’t learn from it.",,,,,,"オーガやネイルガンを使用している間は、採掘や建設のスキルを得ることは期待できません。採掘のスキルを上げるにはピックアックスを、建設のスキルを上げるにはストーンハンマーやクローハンマーを使用します。"
loadingTipConstructionToolsRH_title,UI,Loading Screen,Construction Tools,,,,,,"建築用ツール"
loadingTipBladedWeaponsRH,UI,Loading Screen,"Bladed weapons such as knives and machetes are best at harvesting meat, hide and bones from animals and remains.\nThese  weapons will cause a bleed debuff on every hit, which can be increased by leveling your skill in Blades.",,,,,,"ナイフやマチェーテなどの刃物は、動物の肉や皮、骨などを採取するのに適しています。これらの武器は、ヒットするたびに出血のデバフがかかりますが、これは刃物のスキルを上げることで増やすことができます。"
loadingTipBladedWeaponsRH_title,UI,Loading Screen,Bladed Weapons,,,,,,"刃物"
loadingTipMainHUDRH,UI,Loading Screen,"Ravenhearst allows you to choose multiple UI's or HUDS. You can accomplish by going into Video Options, selecting your UI of choice and then restarting your game. Depending on your chosen HUD your health and stamina levels are shown as red and blue bars. Food and Water levels are shown as green and blue bars. Open your character screen to see detailed player stats in the tabs below your character name.",,,,,,"Ravenhearstでは、複数のUIまたはHUDSを選択することができます。そのためには、「ビデオオプション」で好きなUIを選択し、ゲームを再起動します。選択したHUDに応じて、ヘルスとスタミナのレベルが赤と青のバーで表示されます。食料と水の量は緑と青のバーで表示されます。キャラクター画面を開くと、キャラクター名の下にあるタブにプレイヤーの詳細なステータスが表示されます。"
loadingTipMainHUDRH_title,UI,Loading Screen,The HUD,,,,,,"HUD"
loadingTipUnlockingRecipesRH,UI,Loading Screen,If a recipe shows a lock item then you cannot craft it yet. Clicking on it will show you one or more ways to unlock it.\nSome recipes and items can not be unlocked and some can only be unlocked by levelling up Action Skills.,,,,,,"レシピにロックアイテムが表示されている場合は、まだ作ることができません。レシピやアイテムの中には、アンロックできないものや、アクションスキルを上げないとアンロックできないものもあります。"
loadingTipUnlockingRecipesRH_title,UI,Loading Screen,Unlocking Recipes,,,,,,"レシピのアンロック"
