Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / 
ammoCrossbowBoltAluminiumStoneDesc,items,Ammo,,,A Aluminium stone-tipped crossbow bolt. Hold reload to use alternate ammo.,,
ammoCrossbowBoltAluminiumIron,items,Ammo,,,Aluminium Iron Crossbow Bolt (Ammo),,
ammoCrossbowBoltAluminiumIronDesc,items,Ammo,,,A Aluminium iron-tipped bolt for the crossbow. Hold reload to use alternate ammo.,,
ammoCrossbowBoltAluminiumSteelAP,items,Ammo,,,Aluminium Steel Crossbow Bolt (Ammo),,
ammoCrossbowBoltAluminiumSteelAPDesc,items,Ammo,,,A Aluminium Steel-tipped bolts do yet more damage and fly straighter.\nHold reload to use alternate ammo.,,
ammoCrossbowBoltAluminiumCarbonSteelAP,items,Ammo,,,Aluminium Carbon Steel Crossbow Bolt (Ammo),,
ammoCrossbowBoltAluminiumCarbonSteelAPDesc,items,Ammo,,,A Aluminium Carbon Steel-tipped bolts do yet more damage and fly straighter than Steel Bolts.\nHold reload to use alternate ammo.,,
ammoCrossbowBoltFiberStone,items,Ammo,,,Carbon Fiber Stone Crossbow Bolt (Ammo),,
ammoCrossbowBoltFiberStoneDesc,items,Ammo,,,A Carbon Fiber stone-tipped crossbow bolt. Hold reload to use alternate ammo.,,
ammoCrossbowBoltFiberIron,items,Ammo,,,Carbon Fiber Iron Crossbow Bolt (Ammo),,
ammoCrossbowBoltFiberIronDesc,items,Ammo,,,A Carbon Fiber iron-tipped bolt for the crossbow. Hold reload to use alternate ammo.,,
ammoCrossbowBoltFiberSteelAP,items,Ammo,,,Carbon Fiber Steel Crossbow Bolt (Ammo),,
ammoCrossbowBoltFiberSteelAPDesc,items,Ammo,,,A Carbon Fiber Steel-tipped bolts do yet more damage and fly straighter.\nHold reload to use alternate ammo.,,
ammoCrossbowBoltFiberCarbonSteelAP,items,Ammo,,,Carbon Fiber Carbon Steel Crossbow Bolt (Ammo),,
ammoCrossbowBoltFiberCarbonSteelAPDesc,items,Ammo,,,A Carbon Fiber Carbon Steel-tipped bolts do yet more damage and fly straighter than Steel Bolts.\nHold reload to use alternate ammo.,,

resourceBoltHeadIron,items,item,,,Iron Bolthead,,
resourceBoltHeadIronDesc,items,item,,,An iron bolthead used to craft iron bolts.,,
resourceBoltHeadSteelAP,items,item,,,Steel Bolthead,,
resourceBoltHeadSteelAPDesc,items,item,,,An steel bolthead used to craft Targetpoint steel bolts.,,
resourceBoltHeadCarbonAP,items,item,,,Carbon Steel Bolthead,,
resourceBoltHeadCarbonAPDesc,items,item,,,An Carbon Steel bolthead used to craft Carbon Fiber bolts.,,



resourceResin,items,item,,,Bottle of Resin,,
resourceResinDesc,items,item,,,An high end liquid used in the creation of Carbon Fiber.,,
resourceCarbonFiber,items,item,,,Carbon Fiber,,
resourceCarbonFiberDesc,items,item,,,An high end Fiber used in the creation of Carbon Weaponry.,,
resourceAluminiumShaft,items,item,,,Aluminium Arrow Shaft,,
resourceAluminiumShaftDesc,items,item,,,A Aluminium arrow shaft used to craft Aluminium Arrows.,
resourceCarbonFiberShaft,items,item,,,Carbon Fiber Arrow Shaft,,
resourceCarbonFiberShaftDesc,items,item,,,A Carbon Fiber arrow shaft used to craft Carbon Arrows.,

resourceAluminiumBoltShaft,items,item,,,Aluminium Bolt Shaft,,
resourceAluminiumBoltShaftDesc,items,item,,,A Aluminium bolt shaft used to craft Aluminium Bolts.,
resourceCarbonFiberBoltShaft,items,item,,,Carbon Fiber Bolt Shaft,,
resourceCarbonFiberBoltShaftDesc,items,item,,,A Carbon Fiber bolt shaft used to craft Carbon Bolts.,

gunBowFletcherSchematic,items,GunBow,,,Fletchers Bow Schematic,,
gunBowRecurveSchematic,items,GunBow,,,Recurve Bow Schematic,,
gunBowHybridCamCompoundSchematic,items,GunBow,,,Hybrid Cam Compound Bow Schematic,,
gunBowRecurveCrossbowSchematic,items,GunBow,,,Recurve Crossbow Schematic,,
gunBowHybridCamCompoundCrossbowSchematic,items,GunBow,,,Hybrid Cam Compound Crossbow Schematic,,
modGunBowMiniLegolasMagExtenderSchematic,item_modifiers,Mod,,,Mini Legolas Mod Schematic,,
modGunBowLegolasMagExtenderSchematic,item_modifiers,Mod,,,Legolas Mod Schematic,,
resourceCarbonFiberSchematic,items,Resource,,,Carbon Fiber Schematic,,
ammoArrowStunSchematic,items,Resource,,,Stone Stun Arrow Schematic,,

modGunBowMiniLegolasMagExtender,item_modifiers,mod,,,Mini Legolas Arrow Capacity Mod,,
modGunBowMiniLegolasMagExtenderDesc,item_modifiers,mod,,,Increases Arrow capacity. Allows an extra arrow to be ready to fire before having to reload.,,
modGunBowLegolasMagExtender,item_modifiers,mod,,,Legolas Arrow Capacity Mod,,
modGunBowLegolasMagExtenderDesc,item_modifiers,mod,,,Increases Arrow capacity. Allows an extra 4 arrows to be ready to fire before having to reload.,,

gunBowT0PrimitiveBow,items,Gun,,,Primitive Bow,,
gunBowT0PrimitiveBowDesc,items,Gun,,,Good for hunting and killing zombies. Uses Wooden arrows for ammunition.\nHold reload to use alternate ammo.\n\nRepair with Primitive Repair Kit.\nScrap to Wood.,,
gunBowT1WoodenBow,items,Gun,,,Wooden Bow,,
gunBowT1WoodenBowDesc,items,Gun,,,Good for hunting and killing zombies. Uses Wooden and Aluminium arrows for ammunition.\nHold reload to use alternate ammo.\n\nRepair with a Repair Kit.\nScrap to Iron.,,
gunBowT3CompoundBow,items,Gun,,,Compound Bow,,
gunBowT3CompoundBowDesc,items,Gun,,,A compound bow does more damage and arrows fly straighter which makes it easier to aim. Uses Wooden and Aluminium arrows.\n\nRepair with an Advanced Repair Kit.\nScrap to Iron.,,

gunBowFletcher,items,GunBow,,,Fletchers Bow,
gunBowFletcherDesc,items,GunBow,,,Good for hunting and killing zombies. Uses Wooden and Aluminium Arrows for ammunition.\nHold reload to use alternate ammo.\n\nRepair with Primitive Repair Kit.\nScrap to Wood.,,
gunBowRecurve,items,GunBow,,,Recurve Bow,,
gunBowRecurveDesc,items,GunBow,,,Good for hunting and killing zombies. Uses Steel and Carbon Steel tipped Wooden, Aluminium, Stone and Iron Tipped Carbon Fiber Arrows for ammunition.\nHold reload to use alternate ammo.\n\nRepair with a Repair Kit.\nScrap to Iron.,,
gunBowHybridCamCompound,items,GunBow,,,Hybrid Cam Compound Bow,,
gunBowHybridCamCompoundDesc,items,GunBow,,,A compound bow does more damage and arrows fly straighter which makes it easier to aim. Uses Aluminium and Carbon Fiber Arrows for ammunition.\nHold reload to use alternate ammo.\n\nRepair with an Advanced Repair Kit.\nScrap to Iron.,,

gunBowPrimitiveCrossbow,items,Gun,,,Primitive Crossbow,,
gunBowPrimitiveCrossbowDesc,items,Gun,,,A crossbow is slow to reload but does more damage than a bow.\nThe primitive Crossbow is slower and more cumbersome than other Crossbows, but doesnt have a requirement to build.\nThis weapon can be fired underwater.\nHold reload to use alternate ammo.\nRepair with a Wood.\nScrap to Iron.,,
gunBowRecurveCrossbow,items,Gun,,,Recurve Crossbow,,
gunBowRecurveCrossbowDesc,items,Gun,,,A crossbow is slow to reload but does more damage than a bow.\nThis weapon can be fired underwater.\nHold reload to use alternate ammo.\nRepair with a Repair Kit.\nScrap to Iron.,,
gunBowHybridCamCompoundCrossbow,items,Gun,,,Hybrid Cam Compound Crossbow,,
gunBowHybridCamCompoundCrossbowDesc,items,Gun,,,A crossbow is slow to reload but does more damage than a bow.\nThis weapon can be fired underwater.\nHold reload to use alternate ammo.\nRepair with an Advanced Repair Kit.\nScrap to Iron.,,
