Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
uiLoadStartingGame,UI,Game loading,x,,Starting game...,Starting game...,Starting game...,Starting game...,Starting game...,Starting game...,Starting game...,Starting game...,Starting game...,Starting game...,Starting game...,Starting game...,Starting game...,Starting game...,Starting game...
uiLoadWaitingForServer,UI,Game loading,x,,Waiting for server...,Waiting for server...,Waiting for server...,Waiting for server...,Waiting for server...,Waiting for server...,Waiting for server...,Waiting for server...,Waiting for server...,Waiting for server...,Waiting for server...,Waiting for server...,Waiting for server...,Waiting for server...,Waiting for server...
quest_WhiteRiverCitizen,Quest,Quest Info,,,Lone World Prospect,Lone World Prospect,Lone World Prospect,Lone World Prospect,Lone World Prospect,Lone World Prospect,Lone World Prospect,Lone World Prospect,Lone World Prospect,Lone World Prospect,Lone World Prospect,Lone World Prospect,Lone World Prospect,Lone World Prospect,Lone World Prospect
quest_WhiteRiverCitizen1,Quest,Quest Info,,,Lone World Prospect 1/1,Lone World Prospect 1/1,Lone World Prospect 1/1,Lone World Prospect 1/1,Lone World Prospect 1/1,Lone World Prospect 1/1,Lone World Prospect 1/1,Lone World Prospect 1/1,Lone World Prospect 1/1,Lone World Prospect 1/1,Lone World Prospect 1/1,Lone World Prospect 1/1,Lone World Prospect 1/1,Lone World Prospect 1/1,Lone World Prospect 1/1
quest_WhiteRiverCitizen1_description,Quest,Quest Info,,,"We are glad to see you made it but it is going to take much more than that to survive.\n\nThere is much work to be done. The President had injected himself with the only known cure to this virus. Unfortunately the cure died with him when he fell out of Air Force One mid flight.\n\nRumor is there is someone out there with the knowledge to end all of this. Keep an eye out!","We are glad to see you made it but it is going to take much more than that to survive.\n\nThere is much work to be done. The President had injected himself with the only known cure to this virus. Unfortunately the cure died with him when he fell out of Air Force One mid flight.\n\nRumor is there is someone out there with the knowledge to end all of this. Keep an eye out!","We are glad to see you made it but it is going to take much more than that to survive.\n\nThere is much work to be done. The President had injected himself with the only known cure to this virus. Unfortunately the cure died with him when he fell out of Air Force One mid flight.\n\nRumor is there is someone out there with the knowledge to end all of this. Keep an eye out!","We are glad to see you made it but it is going to take much more than that to survive.\n\nThere is much work to be done. The President had injected himself with the only known cure to this virus. Unfortunately the cure died with him when he fell out of Air Force One mid flight.\n\nRumor is there is someone out there with the knowledge to end all of this. Keep an eye out!","We are glad to see you made it but it is going to take much more than that to survive.\n\nThere is much work to be done. The President had injected himself with the only known cure to this virus. Unfortunately the cure died with him when he fell out of Air Force One mid flight.\n\nRumor is there is someone out there with the knowledge to end all of this. Keep an eye out!","We are glad to see you made it but it is going to take much more than that to survive.\n\nThere is much work to be done. The President had injected himself with the only known cure to this virus. Unfortunately the cure died with him when he fell out of Air Force One mid flight.\n\nRumor is there is someone out there with the knowledge to end all of this. Keep an eye out!","We are glad to see you made it but it is going to take much more than that to survive.\n\nThere is much work to be done. The President had injected himself with the only known cure to this virus. Unfortunately the cure died with him when he fell out of Air Force One mid flight.\n\nRumor is there is someone out there with the knowledge to end all of this. Keep an eye out!","We are glad to see you made it but it is going to take much more than that to survive.\n\nThere is much work to be done. The President had injected himself with the only known cure to this virus. Unfortunately the cure died with him when he fell out of Air Force One mid flight.\n\nRumor is there is someone out there with the knowledge to end all of this. Keep an eye out!","We are glad to see you made it but it is going to take much more than that to survive.\n\nThere is much work to be done. The President had injected himself with the only known cure to this virus. Unfortunately the cure died with him when he fell out of Air Force One mid flight.\n\nRumor is there is someone out there with the knowledge to end all of this. Keep an eye out!","We are glad to see you made it but it is going to take much more than that to survive.\n\nThere is much work to be done. The President had injected himself with the only known cure to this virus. Unfortunately the cure died with him when he fell out of Air Force One mid flight.\n\nRumor is there is someone out there with the knowledge to end all of this. Keep an eye out!","We are glad to see you made it but it is going to take much more than that to survive.\n\nThere is much work to be done. The President had injected himself with the only known cure to this virus. Unfortunately the cure died with him when he fell out of Air Force One mid flight.\n\nRumor is there is someone out there with the knowledge to end all of this. Keep an eye out!","We are glad to see you made it but it is going to take much more than that to survive.\n\nThere is much work to be done. The President had injected himself with the only known cure to this virus. Unfortunately the cure died with him when he fell out of Air Force One mid flight.\n\nRumor is there is someone out there with the knowledge to end all of this. Keep an eye out!","We are glad to see you made it but it is going to take much more than that to survive.\n\nThere is much work to be done. The President had injected himself with the only known cure to this virus. Unfortunately the cure died with him when he fell out of Air Force One mid flight.\n\nRumor is there is someone out there with the knowledge to end all of this. Keep an eye out!","We are glad to see you made it but it is going to take much more than that to survive.\n\nThere is much work to be done. The President had injected himself with the only known cure to this virus. Unfortunately the cure died with him when he fell out of Air Force One mid flight.\n\nRumor is there is someone out there with the knowledge to end all of this. Keep an eye out!","We are glad to see you made it but it is going to take much more than that to survive.\n\nThere is much work to be done. The President had injected himself with the only known cure to this virus. Unfortunately the cure died with him when he fell out of Air Force One mid flight.\n\nRumor is there is someone out there with the knowledge to end all of this. Keep an eye out!"
quest_WhiteRiverCitizen1_subtitle,Quest,Quest Info,,,Journey to Settlement,Journey to Settlement,Journey to Settlement,Journey to Settlement,Journey to Settlement,Journey to Settlement,Journey to Settlement,Journey to Settlement,Journey to Settlement,Journey to Settlement,Journey to Settlement,Journey to Settlement,Journey to Settlement,Journey to Settlement,Journey to Settlement
quest_BasicSurvival1,Quest,Quest Info,,,Basic Survival 1/14,Basic Survival 1/14,Basic Survival 1/14,Basic Survival 1/14,Basic Survival 1/14,Basic Survival 1/14,Basic Survival 1/14,Basic Survival 1/14,Basic Survival 1/14,Basic Survival 1/14,Basic Survival 1/14,Basic Survival 1/14,Basic Survival 1/14,Basic Survival 1/14,Basic Survival 1/14
quest_BasicSurvival1_description,Quest,Quest Info,,,"Craft a Bedroll by gathering plant fibers. Once you have the ingredients open your crafting inventory, navigate to the basics recipe category, highlight the recipe and click the craft button.\n\nPlace the Bedroll in the world by first equipping it and using the secondary action key. Once placed you'll see a Bed Icon on your compass and map. This will lead you back to your home and will act as a re-spawn point if you die.","Craft a Bedroll by gathering plant fibers. Once you have the ingredients open your crafting inventory, navigate to the basics recipe category, highlight the recipe and click the craft button.\n\nPlace the Bedroll in the world by first equipping it and using the secondary action key. Once placed you'll see a Bed Icon on your compass and map. This will lead you back to your home and will act as a re-spawn point if you die.","Craft a Bedroll by gathering plant fibers. Once you have the ingredients open your crafting inventory, navigate to the basics recipe category, highlight the recipe and click the craft button.\n\nPlace the Bedroll in the world by first equipping it and using the secondary action key. Once placed you'll see a Bed Icon on your compass and map. This will lead you back to your home and will act as a re-spawn point if you die.","Craft a Bedroll by gathering plant fibers. Once you have the ingredients open your crafting inventory, navigate to the basics recipe category, highlight the recipe and click the craft button.\n\nPlace the Bedroll in the world by first equipping it and using the secondary action key. Once placed you'll see a Bed Icon on your compass and map. This will lead you back to your home and will act as a re-spawn point if you die.","Craft a Bedroll by gathering plant fibers. Once you have the ingredients open your crafting inventory, navigate to the basics recipe category, highlight the recipe and click the craft button.\n\nPlace the Bedroll in the world by first equipping it and using the secondary action key. Once placed you'll see a Bed Icon on your compass and map. This will lead you back to your home and will act as a re-spawn point if you die.","Craft a Bedroll by gathering plant fibers. Once you have the ingredients open your crafting inventory, navigate to the basics recipe category, highlight the recipe and click the craft button.\n\nPlace the Bedroll in the world by first equipping it and using the secondary action key. Once placed you'll see a Bed Icon on your compass and map. This will lead you back to your home and will act as a re-spawn point if you die.","Craft a Bedroll by gathering plant fibers. Once you have the ingredients open your crafting inventory, navigate to the basics recipe category, highlight the recipe and click the craft button.\n\nPlace the Bedroll in the world by first equipping it and using the secondary action key. Once placed you'll see a Bed Icon on your compass and map. This will lead you back to your home and will act as a re-spawn point if you die.","Craft a Bedroll by gathering plant fibers. Once you have the ingredients open your crafting inventory, navigate to the basics recipe category, highlight the recipe and click the craft button.\n\nPlace the Bedroll in the world by first equipping it and using the secondary action key. Once placed you'll see a Bed Icon on your compass and map. This will lead you back to your home and will act as a re-spawn point if you die.","Craft a Bedroll by gathering plant fibers. Once you have the ingredients open your crafting inventory, navigate to the basics recipe category, highlight the recipe and click the craft button.\n\nPlace the Bedroll in the world by first equipping it and using the secondary action key. Once placed you'll see a Bed Icon on your compass and map. This will lead you back to your home and will act as a re-spawn point if you die.","Craft a Bedroll by gathering plant fibers. Once you have the ingredients open your crafting inventory, navigate to the basics recipe category, highlight the recipe and click the craft button.\n\nPlace the Bedroll in the world by first equipping it and using the secondary action key. Once placed you'll see a Bed Icon on your compass and map. This will lead you back to your home and will act as a re-spawn point if you die.","Craft a Bedroll by gathering plant fibers. Once you have the ingredients open your crafting inventory, navigate to the basics recipe category, highlight the recipe and click the craft button.\n\nPlace the Bedroll in the world by first equipping it and using the secondary action key. Once placed you'll see a Bed Icon on your compass and map. This will lead you back to your home and will act as a re-spawn point if you die.","Craft a Bedroll by gathering plant fibers. Once you have the ingredients open your crafting inventory, navigate to the basics recipe category, highlight the recipe and click the craft button.\n\nPlace the Bedroll in the world by first equipping it and using the secondary action key. Once placed you'll see a Bed Icon on your compass and map. This will lead you back to your home and will act as a re-spawn point if you die.","Craft a Bedroll by gathering plant fibers. Once you have the ingredients open your crafting inventory, navigate to the basics recipe category, highlight the recipe and click the craft button.\n\nPlace the Bedroll in the world by first equipping it and using the secondary action key. Once placed you'll see a Bed Icon on your compass and map. This will lead you back to your home and will act as a re-spawn point if you die.","Craft a Bedroll by gathering plant fibers. Once you have the ingredients open your crafting inventory, navigate to the basics recipe category, highlight the recipe and click the craft button.\n\nPlace the Bedroll in the world by first equipping it and using the secondary action key. Once placed you'll see a Bed Icon on your compass and map. This will lead you back to your home and will act as a re-spawn point if you die.","Craft a Bedroll by gathering plant fibers. Once you have the ingredients open your crafting inventory, navigate to the basics recipe category, highlight the recipe and click the craft button.\n\nPlace the Bedroll in the world by first equipping it and using the secondary action key. Once placed you'll see a Bed Icon on your compass and map. This will lead you back to your home and will act as a re-spawn point if you die."
quest_BasicSurvival1_subtitle,Quest,Quest Info,,,Craft a Bedroll,Craft a Bedroll,Craft a Bedroll,Craft a Bedroll,Craft a Bedroll,Craft a Bedroll,Craft a Bedroll,Craft a Bedroll,Craft a Bedroll,Craft a Bedroll,Craft a Bedroll,Craft a Bedroll,Craft a Bedroll,Craft a Bedroll,Craft a Bedroll
quest_BasicSurvival2,Quest,Quest Info,,,Basic Survival 4/14,Basic Survival 3/14,Basic Survival 3/14,Basic Survival 3/14,Basic Survival 3/14,Basic Survival 3/14,Basic Survival 3/14,Basic Survival 3/14,Basic Survival 3/14,Basic Survival 3/14,Basic Survival 3/14,Basic Survival 3/14,Basic Survival 3/14,Basic Survival 3/14,Basic Survival 3/14
quest_BasicSurvival2_description,Quest,Quest Info,,,"Craft a Stone Axe to help you defend yourself and gather crafting ingredients. Gather the ingredients by attacking grass, stone, or wood objects. You can also pick up small stones by looking at them and using the Pickup action. Once you have the ingredients, access the Inventory and locate Stone Axe in the Basics category of the Crafting window. Craft a Stone Axe.","Craft a Stone Axe to help you defend yourself and gather crafting ingredients. Gather the ingredients by attacking grass, stone, or wood objects. You can also pick up small stones by looking at them and using the Pickup action. Once you have the ingredients, access the Inventory and locate Stone Axe in the Basics category of the Crafting window. Craft a Stone Axe.","Craft a Stone Axe to help you defend yourself and gather crafting ingredients. Gather the ingredients by attacking grass, stone, or wood objects. You can also pick up small stones by looking at them and using the Pickup action. Once you have the ingredients, access the Inventory and locate Stone Axe in the Basics category of the Crafting window. Craft a Stone Axe.","Craft a Stone Axe to help you defend yourself and gather crafting ingredients. Gather the ingredients by attacking grass, stone, or wood objects. You can also pick up small stones by looking at them and using the Pickup action. Once you have the ingredients, access the Inventory and locate Stone Axe in the Basics category of the Crafting window. Craft a Stone Axe.","Craft a Stone Axe to help you defend yourself and gather crafting ingredients. Gather the ingredients by attacking grass, stone, or wood objects. You can also pick up small stones by looking at them and using the Pickup action. Once you have the ingredients, access the Inventory and locate Stone Axe in the Basics category of the Crafting window. Craft a Stone Axe.","Craft a Stone Axe to help you defend yourself and gather crafting ingredients. Gather the ingredients by attacking grass, stone, or wood objects. You can also pick up small stones by looking at them and using the Pickup action. Once you have the ingredients, access the Inventory and locate Stone Axe in the Basics category of the Crafting window. Craft a Stone Axe.","Craft a Stone Axe to help you defend yourself and gather crafting ingredients. Gather the ingredients by attacking grass, stone, or wood objects. You can also pick up small stones by looking at them and using the Pickup action. Once you have the ingredients, access the Inventory and locate Stone Axe in the Basics category of the Crafting window. Craft a Stone Axe.","Craft a Stone Axe to help you defend yourself and gather crafting ingredients. Gather the ingredients by attacking grass, stone, or wood objects. You can also pick up small stones by looking at them and using the Pickup action. Once you have the ingredients, access the Inventory and locate Stone Axe in the Basics category of the Crafting window. Craft a Stone Axe.","Craft a Stone Axe to help you defend yourself and gather crafting ingredients. Gather the ingredients by attacking grass, stone, or wood objects. You can also pick up small stones by looking at them and using the Pickup action. Once you have the ingredients, access the Inventory and locate Stone Axe in the Basics category of the Crafting window. Craft a Stone Axe.","Craft a Stone Axe to help you defend yourself and gather crafting ingredients. Gather the ingredients by attacking grass, stone, or wood objects. You can also pick up small stones by looking at them and using the Pickup action. Once you have the ingredients, access the Inventory and locate Stone Axe in the Basics category of the Crafting window. Craft a Stone Axe.","Craft a Stone Axe to help you defend yourself and gather crafting ingredients. Gather the ingredients by attacking grass, stone, or wood objects. You can also pick up small stones by looking at them and using the Pickup action. Once you have the ingredients, access the Inventory and locate Stone Axe in the Basics category of the Crafting window. Craft a Stone Axe.","Craft a Stone Axe to help you defend yourself and gather crafting ingredients. Gather the ingredients by attacking grass, stone, or wood objects. You can also pick up small stones by looking at them and using the Pickup action. Once you have the ingredients, access the Inventory and locate Stone Axe in the Basics category of the Crafting window. Craft a Stone Axe.","Craft a Stone Axe to help you defend yourself and gather crafting ingredients. Gather the ingredients by attacking grass, stone, or wood objects. You can also pick up small stones by looking at them and using the Pickup action. Once you have the ingredients, access the Inventory and locate Stone Axe in the Basics category of the Crafting window. Craft a Stone Axe.","Craft a Stone Axe to help you defend yourself and gather crafting ingredients. Gather the ingredients by attacking grass, stone, or wood objects. You can also pick up small stones by looking at them and using the Pickup action. Once you have the ingredients, access the Inventory and locate Stone Axe in the Basics category of the Crafting window. Craft a Stone Axe.","Craft a Stone Axe to help you defend yourself and gather crafting ingredients. Gather the ingredients by attacking grass, stone, or wood objects. You can also pick up small stones by looking at them and using the Pickup action. Once you have the ingredients, access the Inventory and locate Stone Axe in the Basics category of the Crafting window. Craft a Stone Axe."
quest_BasicSurvival2_subtitle,Quest,Quest Info,,,Craft a Stone Axe,Craft a Stone Axe,Craft a Stone Axe,Craft a Stone Axe,Craft a Stone Axe,Craft a Stone Axe,Craft a Stone Axe,Craft a Stone Axe,Craft a Stone Axe,Craft a Stone Axe,Craft a Stone Axe,Craft a Stone Axe,Craft a Stone Axe,Craft a Stone Axe,Craft a Stone Axe
quest_BasicSurvival3,Quest,Quest Info,,,Basic Survival 9/14,Basic Survival 9/14,Basic Survival 9/14,Basic Survival 9/14,Basic Survival 9/14,Basic Survival 9/14,Basic Survival 9/14,Basic Survival 9/14,Basic Survival 9/14,Basic Survival 9/14,Basic Survival 9/14,Basic Survival 9/14,Basic Survival 9/14,Basic Survival 9/14,Basic Survival 9/14
