Key,Source,Context,Changes,English
charredPrawnsDesc,items,Item Food,KgNone,"Charred prawns.  You did your best, but they still burned a bit."
Boiled Prawns,items,Item Food,KgNone,Boiled Prawns
boiledPrawnsDesc,items,Item Food,KgNone,"Boiled prawns.  It's not great, but it's not horrible either."
Grilled Prawns,items,Item Food,KgNone,Grilled Prawns
grilledPrawnsDesc,items,Item Food,KgNone,"Tasty grilled prawns, mmmm!"
Vinegar,items,Item Food,KgNone,Vinegar
vinegarDesc,items,Item Food,KgNone,"This vinegar is ideal for serving with fish and chips or even pickling fish."
Fish Tacos (Fresh),items,Item Food,KgNone,Fish Tacos [a0ff94](Fresh)[-]
fishTacosFreshDesc,items,Item Food,KgNone,"Fresh fish tacos are a great meal, delicious and nutritious!"
Surf and Turf,items,Item Food,KgNone,Surf and Turf
surfAndTurfDesc,items,Item Food,KgNone,"A bit of red meat and seafood pair very well together."
Pickled Fish,items,Item Food,KgNone,Pickled Fish
pickledFishDesc,items,Item Food,KgNone,"Preserved and seasoned with vinegar, this makes for a terrific meal."
Fish Soup,items,Item Food,KgNone,Fish Soup
fishSoupDesc,items,Item Food,KgNone,"Delectable fish soup, mmmm!"
Fish and Chips,items,Item Food,KgNone,Fish and Chips
fishAndChipsDesc,items,Item Food,KgNone,"Some fried fish and potatoes served with vinegar.  Very nice!"
fishTrapItemSchematic,items,Tool,New,Fish Trap Schematic
fishingRodSchematic,items,Tool,New,Fishing Rod Schematic
fineFishingRodSchematic,items,Tool,New,Fine Fishing Rod Schematic
foodVinegarSchematic,items,Food,New,Vinegar Recipe
foodFishTacosFreshSchematic,items,Food,New,Fish Tacos [a0ff94](Fresh)[-] Recipe
foodFishSoupSchematic,items,Food,New,Fish Soup Recipe
foodPickledFishSchematic,items,Food,New,Pickled Fish Recipe
foodFishAndChipsSchematic,items,Food,New,Fish and Chips Recipe
foodSurfAndTurfSchematic,items,Food,New,Surf and Turf Recipe
fishTrapItem,items,Tool,kgNone,Fish Trap
fishTrapItemDesc,items,Tool,kgNone,"Right-click to place near water. Fill the placed trap with worms to begin the catching process. You need to be standing in natural water and place the trap on the shore (not over the water).  Will occasionally trap fish and other debris."
itemFishingCacheT1,items,Tool,kgNone,Fish Cache
itemFishingCacheT2,items,Tool,kgNone,Fish Cache
itemFishingCacheT3,items,Tool,kgNone,Fish Cache
itemFishingCacheAllDesc,items,Tool,kgNone,"Right-click to place anywhere.  Destroy the placed cache to discover what was caught!"

fishTrap,blocks,Block,KgNone,Fish Trap (Empty)
fishTrapDesc,blocks,Block,KgNone,Requires 12 Worms
fishTrapFilling,blocks,Block,KgNone,Fish Trap (Catching)
fishTrapFillingDesc,blocks,Block,KgNone,The Trap is Collecting
fishTrapCaught,blocks,Block,KgNone,Fish Trap (Caught)
fishTrapCaughtDesc,blocks,Block,KgNone,There Are Fish In The Trap

fishingWater,buffs,Buff,New,[94f7e5]Fishing[-]
fishingWaterDesc,buffs,Buff,New,"You can fish as well as place fishing traps near the water's edge."
fishingWaterTooltip,buffs,Buff,New,"You can fish as well as place fishing traps near the water's edge."
fishingSpearCaught,buffs,Buff,New,[94f7e5]Check Spear Quickly![-]
fishingSpearCaughtDesc,buffs,Buff,New,"You may have caught something with your spear.  Right-click with your spear equipped to investigate."
fishingSpearCaughtTooltip,buffs,Buff,New,"You may have caught something with your spear."
fishingSpearCaughtClear,buffs,Buff,New," "
fishingSpearCaughtClearDesc,buffs,Buff,New," "
fishingSpearCaughtClearTooltip,buffs,Buff,New," "
fishingRodCaught,buffs,Buff,New,[94f7e5]Check Rod Quickly![-]
fishingRodCaughtDesc,buffs,Buff,New,"You may have caught something with your fishing rod.  Right-click with your fishing rod equipped to investigate."
fishingRodCaughtTooltip,buffs,Buff,New,"You may have caught something with your fishing rod."
fishingRodCaughtClear,buffs,Buff,New," "
fishingRodCaughtClearDesc,buffs,Buff,New," "
fishingRodCaughtClearTooltip,buffs,Buff,New," "
decoGardenPondRH,blocks,Block,New,Fishing Pond,,,,,
decoGardenPondRHDesc,blocks,Block,New,Nothing beats a nice quiet afternoon by the pond. Beers not included. Standing in this should allow you to fish.,,,,,
Fishing Spear,items,Tool,KgNone,Junk Item (Discard)
