Key,Source,Context,Changes,English
GG_PE_NeonLightsWhiteG,items,Item,,Neon White G
GG_PE_NeonLightsWhiteH,items,Item,,Neon White H
GG_PE_NeonLightsWhiteI,items,Item,,Neon White I
GG_PE_NeonLightsWhiteJ,items,Item,,Neon White J
GG_PE_NeonLightsWhiteK,items,Item,,Neon White K
GG_PE_NeonLightsWhiteL,items,Item,,Neon White L
GG_PE_NeonLightsWhiteM,items,Item,,Neon White M
GG_PE_NeonLightsWhiteN,items,Item,,Neon White N
GG_PE_NeonLightsWhiteO,items,Item,,Neon White O
GG_PE_NeonLightsWhiteP,items,Item,,Neon White P
GG_PE_NeonLightsWhiteQ,items,Item,,Neon White Q
GG_PE_NeonLightsWhiteR,items,Item,,Neon White R
GG_PE_NeonLightsWhiteS,items,Item,,Neon White S
GG_PE_NeonLightsWhiteT,items,Item,,Neon White T
GG_PE_NeonLightsWhiteU,items,Item,,Neon White U
GG_PE_NeonLightsWhiteV,items,Item,,Neon White V
GG_PE_NeonLightsWhiteW,items,Item,,Neon White W
GG_PE_NeonLightsWhiteX,items,Item,,Neon White X
GG_PE_NeonLightsWhiteY,items,Item,,Neon White Y
GG_PE_NeonLightsWhiteZ,items,Item,,Neon White Z

GG_PE_NeonLightsYellow0,items,Item,,Neon Yellow 0
GG_PE_NeonLightsYellow1,items,Item,,Neon Yellow 1
GG_PE_NeonLightsYellow2,items,Item,,Neon Yellow 2
GG_PE_NeonLightsYellow3,items,Item,,Neon Yellow 3
GG_PE_NeonLightsYellow4,items,Item,,Neon Yellow 4
GG_PE_NeonLightsYellow5,items,Item,,Neon Yellow 5
GG_PE_NeonLightsYellow6,items,Item,,Neon Yellow 6
GG_PE_NeonLightsYellow7,items,Item,,Neon Yellow 7
GG_PE_NeonLightsYellow8,items,Item,,Neon Yellow 8
GG_PE_NeonLightsYellow9,items,Item,,Neon Yellow 9
GG_PE_NeonLightsYellowA,items,Item,,Neon Yellow A
GG_PE_NeonLightsYellowB,items,Item,,Neon Yellow B
GG_PE_NeonLightsYellowC,items,Item,,Neon Yellow C
GG_PE_NeonLightsYellowD,items,Item,,Neon Yellow D
GG_PE_NeonLightsYellowE,items,Item,,Neon Yellow E
GG_PE_NeonLightsYellowF,items,Item,,Neon Yellow F
GG_PE_NeonLightsYellowG,items,Item,,Neon Yellow G
GG_PE_NeonLightsYellowH,items,Item,,Neon Yellow H
GG_PE_NeonLightsYellowI,items,Item,,Neon Yellow I
GG_PE_NeonLightsYellowJ,items,Item,,Neon Yellow J
GG_PE_NeonLightsYellowK,items,Item,,Neon Yellow K
GG_PE_NeonLightsYellowL,items,Item,,Neon Yellow L
GG_PE_NeonLightsYellowM,items,Item,,Neon Yellow M
GG_PE_NeonLightsYellowN,items,Item,,Neon Yellow N
GG_PE_NeonLightsYellowO,items,Item,,Neon Yellow O
GG_PE_NeonLightsYellowP,items,Item,,Neon Yellow P
GG_PE_NeonLightsYellowQ,items,Item,,Neon Yellow Q
GG_PE_NeonLightsYellowR,items,Item,,Neon Yellow R
GG_PE_NeonLightsYellowS,items,Item,,Neon Yellow S
GG_PE_NeonLightsYellowT,items,Item,,Neon Yellow T
GG_PE_NeonLightsYellowU,items,Item,,Neon Yellow U
GG_PE_NeonLightsYellowV,items,Item,,Neon Yellow V
GG_PE_NeonLightsYellowW,items,Item,,Neon Yellow W
GG_PE_NeonLightsYellowX,items,Item,,Neon Yellow X
GG_PE_NeonLightsYellowY,items,Item,,Neon Yellow Y
GG_PE_NeonLightsYellowZ,items,Item,,Neon Yellow Z

GG_PE_NeonLightsPink0,items,Item,,Neon Pink 0
GG_PE_NeonLightsPink1,items,Item,,Neon Pink 1
GG_PE_NeonLightsPink2,items,Item,,Neon Pink 2
GG_PE_NeonLightsPink3,items,Item,,Neon Pink 3
GG_PE_NeonLightsPink4,items,Item,,Neon Pink 4
GG_PE_NeonLightsPink5,items,Item,,Neon Pink 5
GG_PE_NeonLightsPink6,items,Item,,Neon Pink 6
GG_PE_NeonLightsPink7,items,Item,,Neon Pink 7
GG_PE_NeonLightsPink8,items,Item,,Neon Pink 8
GG_PE_NeonLightsPink9,items,Item,,Neon Pink 9
GG_PE_NeonLightsPinkA,items,Item,,Neon Pink A
GG_PE_NeonLightsPinkB,items,Item,,Neon Pink B
GG_PE_NeonLightsPinkC,items,Item,,Neon Pink C
GG_PE_NeonLightsPinkD,items,Item,,Neon Pink D
GG_PE_NeonLightsPinkE,items,Item,,Neon Pink E
GG_PE_NeonLightsPinkF,items,Item,,Neon Pink F
GG_PE_NeonLightsPinkG,items,Item,,Neon Pink G
GG_PE_NeonLightsPinkH,items,Item,,Neon Pink H
GG_PE_NeonLightsPinkI,items,Item,,Neon Pink I
GG_PE_NeonLightsPinkJ,items,Item,,Neon Pink J
GG_PE_NeonLightsPinkK,items,Item,,Neon Pink K
GG_PE_NeonLightsPinkL,items,Item,,Neon Pink L
GG_PE_NeonLightsPinkM,items,Item,,Neon Pink M
GG_PE_NeonLightsPinkN,items,Item,,Neon Pink N
GG_PE_NeonLightsPinkO,items,Item,,Neon Pink O
GG_PE_NeonLightsPinkP,items,Item,,Neon Pink P
GG_PE_NeonLightsPinkQ,items,Item,,Neon Pink Q
GG_PE_NeonLightsPinkR,items,Item,,Neon Pink R
GG_PE_NeonLightsPinkS,items,Item,,Neon Pink S
GG_PE_NeonLightsPinkT,items,Item,,Neon Pink T
GG_PE_NeonLightsPinkU,items,Item,,Neon Pink U
GG_PE_NeonLightsPinkV,items,Item,,Neon Pink V
GG_PE_NeonLightsPinkW,items,Item,,Neon Pink W
GG_PE_NeonLightsPinkX,items,Item,,Neon Pink X
GG_PE_NeonLightsPinkY,items,Item,,Neon Pink Y
GG_PE_NeonLightsPinkZ,items,Item,,Neon Pink Z
